"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"686","Stuart Percy","TOR","D","3","39.483333333333","0","0","0","0","0","-","1","0.00","0.02","5","2","0","0","1","0","0","0","0","0","0","0","1","1","4","6","3","0","0","-"
"783","Sven Andrighetto","MTL","R","44","560.41666666667","6","9","4","5","15","60.00","66","9.09","5.19","118","90","64","23","6","6","4","2","2","0","0","9","12","7","70","53","16","2","4","33.33"
"675","Sven Baertschi","VAN","L","69","807.98333333333","13","8","4","4","21","75.00","85","15.29","8.66","145","117","103","44","5","6","10","5","5","0","0","13","19","25","28","83","35","0","1","0.00"
"221","T.J. Oshie","WSH","R","80","1160.3666666667","15","19","9","10","34","59.65","136","11.03","14.35","236","187","146","69","6","9","20","10","10","0","0","20","35","47","127","104","52","25","20","55.56"
"161","Tanner Glass","NYR","L","57","556.73333333333","4","3","2","1","7","41.18","48","8.33","4.57","81","66","35","18","3","7","35","13","10","3","0","15","13","2","221","77","17","6","12","33.33"
"881","Tanner Kero","CHI","C","17","178.56666666667","1","2","2","0","3","50.00","25","4.00","2.03","40","32","23","10","0","6","2","1","1","0","0","2","0","6","19","24","6","53","66","44.54"
"718","Tanner Pearson","L.A","L","79","972.2","13","19","13","6","32","74.42","122","10.66","11.2","241","183","143","56","11","9","18","9","9","0","0","20","17","23","102","101","24","5","9","35.71"
"467","Taylor Beck","NYI","L","2","16.966666666667","0","0","0","0","0","-","0","-","0.1","3","2","1","1","0","0","2","1","1","0","0","1","0","0","6","3","0","0","0","-"
"227","Taylor Chorney","WSH","D","55","658.2","1","5","3","2","6","18.75","28","3.57","1.55","78","46","20","4","1","2","21","9","8","1","0","0","24","8","52","77","46","0","0","-"
"598","Taylor Fedun","VAN","D","1","18.65","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","-"
"559","Taylor Hall","EDM","L","82","1338.7","22","31","25","6","53","81.54","237","9.28","22.86","394","310","238","112","15","21","42","21","21","0","0","23","60","62","76","164","50","10","20","33.33"
"754","Taylor Leier","PHI","L","6","45.933333333333","0","0","0","0","0","-","3","0.00","0.31","9","5","4","2","1","0","0","0","0","0","0","2","1","3","2","8","3","0","0","-"
"306","Teddy Purcell","EDM, FLA","L","76","1045.2","12","20","9","11","32","72.73","122","9.84","10.12","234","172","118","31","6","10","10","5","5","0","0","7","26","27","29","59","14","2","4","33.33"
"568","Teemu Pulkkinen","DET","L","36","352.25","5","4","2","2","9","81.82","46","10.87","4.25","97","75","41","24","2","1","12","5","5","0","0","7","10","11","3","33","8","0","1","0.00"
"726","Teuvo Teravainen","CHI","L","78","999.65","11","14","9","5","25","78.13","115","9.57","10.4","209","155","116","37","7","6","18","9","9","0","0","13","19","31","22","59","24","104","155","40.15"
"332","Thomas Hickey","NYI","D","62","925.88333333333","6","12","7","5","18","42.86","52","11.54","3.03","140","94","40","10","3","0","30","15","15","0","0","8","37","16","56","99","67","0","0","-"
"120","Thomas Vanek","MIN","L","74","960.48333333333","12","15","12","3","27","72.97","109","11.01","8.83","192","144","90","42","8","14","22","10","10","0","0","7","39","20","18","23","16","7","19","26.92"
"70","Tim Jackman","ANA","R","2","11.466666666667","0","0","0","0","0","-","1","0.00","0.09","1","1","1","1","0","0","2","1","1","0","0","1","1","0","2","3","0","0","0","-"
"772","Tim Schaller","BUF","C","17","121.25","0","2","1","1","2","50.00","15","0.00","1","23","19","15","7","0","0","2","1","1","0","0","4","4","2","13","13","8","36","64","36.00"
"343","TJ Brennan","TOR","D","7","100.73333333333","1","0","0","0","1","50.00","11","9.09","0.47","26","18","4","0","0","1","6","3","3","0","0","0","2","2","7","5","5","0","0","-"
"406","TJ Brodie","CGY","D","70","1421.2833333333","4","30","14","16","34","47.89","67","5.97","4.35","165","94","55","16","0","8","14","7","7","0","0","16","73","33","15","47","89","0","0","-"
"788","Tobias Lindberg","TOR","R","6","79.616666666667","0","2","1","1","2","66.67","11","0.00","0.58","22","17","11","1","1","0","4","1","1","0","0","0","1","2","9","6","1","0","2","0.00"
"619","Tobias Rieder","ARI","R","82","1074.2166666667","12","16","11","5","28","70.00","156","7.69","15.3","290","221","149","77","6","22","8","4","4","0","0","21","7","23","52","109","36","5","16","23.81"
"158","Toby Enstrom","WPG","D","72","1291.7166666667","2","13","4","9","15","26.79","44","4.55","1.63","105","68","14","4","0","7","42","20","20","0","0","10","33","6","23","119","79","0","0","-"
"93","Tom Gilbert","MTL","D","45","671.31666666667","1","0","0","0","1","4.76","33","3.03","1.08","75","43","15","2","0","4","10","5","5","0","0","2","37","3","28","138","72","0","0","-"
"576","Tom Kuhnhackl","PIT","R","42","469.8","3","10","7","3","13","72.22","47","6.38","4.82","73","63","44","23","3","2","16","3","2","0","1","9","6","4","56","43","31","0","1","0.00"
"281","Tom Sestito","PIT","L","4","23.183333333333","0","1","0","1","1","100.00","1","0.00","0.11","1","1","1","1","0","0","4","2","2","0","0","1","1","0","13","2","1","0","0","-"
