,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Josh Gorges,FA,D,77,2,10,12,-7,72,57,0,0,0,0,0,143,167
Brandon Gormley,FA,D,26,0,1,1,-3,8,11,0,0,0,0,0,18,19
Shayne Gostisbehere,PHI,D,64,17,29,46,8,24,152,5,8,14,0,0,27,59
Yanni Gourde,TB,LW,2,0,1,1,1,2,0,0,0,0,0,0,2,1
Michael Grabner,ARI,RW,80,9,9,18,-4,12,116,2,0,0,1,0,41,55
Mikhail Grabovski,FA,C,58,9,16,25,3,33,83,2,1,2,0,0,28,26
Marc-Andre Gragnani,FA,D,4,0,0,0,-2,2,0,0,0,0,0,0,1,1
Petter Granberg,FA,D,27,0,2,2,1,13,12,0,0,0,0,0,48,26
Markus Granlund,EDM,C,47,6,4,10,-4,14,56,1,0,0,1,1,31,23
Mikael Granlund,NSH,C,82,13,31,44,-12,20,160,3,2,9,1,0,86,57
Alex Grant,FA,D,5,0,0,0,-2,7,4,0,0,0,0,0,7,2
Derek Grant,ANH,C,15,0,1,1,-7,2,22,0,0,0,0,0,25,11
Tyler Graovac,VAN,C,2,0,0,0,-1,0,2,0,0,0,0,0,1,0
Kevin Gravel,TOR,D,5,0,0,0,0,0,2,0,0,0,0,0,4,4
Mike Green,DET,D,74,7,28,35,-6,38,124,0,5,15,0,0,106,71
Andy Greene,NJ,D,82,4,9,13,7,26,63,0,1,1,0,0,73,154
Matt Greene,FA,D,3,0,0,0,0,8,3,0,0,0,0,0,5,1
Colin Greening,FA,LW,31,7,8,15,-2,13,58,0,1,1,0,0,90,10
Alexandre Grenier,CGY,RW,6,0,0,0,-4,2,9,0,0,0,0,0,5,3
Seth Griffith,WPG,RW,4,0,1,1,-4,4,2,0,0,1,0,0,4,0
Mikhail Grigorenko,FA,C,74,6,21,27,2,8,84,0,1,3,0,0,23,39
Rocco Grimaldi,NSH,C,20,3,2,5,-4,2,29,0,0,0,0,0,17,2
Nicklas Grossmann,FA,D,58,3,4,7,-3,24,42,1,0,0,0,0,106,73
Eric Gryba,CGY,D,53,1,5,6,0,75,58,0,0,0,0,0,132,78
Radko Gudas,WAS,D,76,5,9,14,-3,116,150,1,0,0,0,0,304,157
Erik Gudbranson,PIT,D,64,2,7,9,3,49,73,0,0,0,0,0,150,73
Nate Guenin,FA,D,29,0,0,0,2,2,10,0,0,0,0,0,15,33
Carl Gunnarsson,STL,D,72,3,6,9,7,31,51,0,1,0,0,0,67,119
Erik Gustafsson,CHI,D,41,0,14,14,11,4,58,0,0,1,0,0,29,37
Calvin de Haan,CHI,D,72,2,14,16,3,20,102,0,0,1,0,0,128,198
Carl Hagelin,WAS,LW,80,14,25,39,8,32,178,6,0,0,0,2,84,33
Ron Hainsey,OTT,D,81,5,14,19,-13,37,131,2,0,0,0,0,85,126
Micheal Haley,NYR,LW,16,1,0,1,-2,48,10,0,0,0,0,0,39,4
Matt Halischuk,FA,RW,30,0,3,3,1,4,39,0,0,0,0,0,38,11
Taylor Hall,NJ,LW,82,26,39,65,-4,54,286,6,4,8,0,0,82,50
Dan Hamhuis,NSH,D,58,3,10,13,-2,28,72,1,1,2,0,0,64,72
