"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"533","Bryan Rust","PIT","R","41","10.783333333333","8","18","30.77","7","15","31.82","3","12","20.00","0","1","0.00","0.43","1.14","27.28","3","7","30.00","1","4","20.00","0","1","0.00","2","3","40.00","0","0","-","5","11","31.25","0","0","-","0.00","91.67","0.917","2","2","3","14","40.00","2","2","3","40.00"
"466","Byron Froese","TOR","C","56","145.41666666667","35","191","15.49","29","144","16.76","25","108","18.80","0","17","0.00","1.89","11.85","13.75","19","89","17.59","9","30","23.08","0","7","0.00","10","59","14.49","0","6","0.00","13","98","11.71","0","4","0.00","0.00","84.26","0.843","6","17","105","129","5.41","10","32","130","7.14"
"262","Cal Clutterbuck","NYI","R","77","151.6","45","264","14.56","38","179","17.51","34","133","20.36","4","10","28.57","2.35","15.99","12.82","22","128","14.67","10","58","14.71","3","6","33.33","12","70","14.63","0","4","0.00","7","118","5.60","0","0","-","11.76","92.48","1.042","9","11","128","128","6.57","10","19","153","6.13"
"231","Cal O'Reilly","BUF","C","20","1.0833333333333","0","2","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.12","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","2","0.00"
"484","Calle Jarnkrok","NSH","C","81","158.46666666667","25","249","9.12","24","175","12.06","20","128","13.51","2","14","12.50","1.6","15.45","9.39","15","116","11.45","8","51","13.56","2","7","22.22","7","65","9.72","0","5","0.00","3","120","2.44","0","2","0.00","10.00","89.06","0.991","4","23","127","111","3.05","6","37","163","3.55"
"430","Calvin de Haan","NYI","D","72","161.61666666667","53","272","16.31","45","184","19.65","40","135","22.86","4","12","25.00","3.06","15.76","16.25","28","128","17.95","14","49","22.22","3","8","27.27","14","79","15.05","0","3","0.00","10","125","7.41","0","1","0.00","10.00","91.11","1.011","4","11","105","86","3.67","13","30","164","7.34"
"392","Cam Atkinson","CBJ","R","81","150.56666666667","26","217","10.70","24","159","13.11","16","109","12.80","2","17","10.53","2.39","13.88","14.71","15","101","12.93","10","40","20.00","2","7","22.22","5","61","7.58","0","6","0.00","6","104","5.45","0","3","0.00","12.50","84.40","0.969","2","22","133","87","1.48","4","31","169","2.31"
"508","Cam Fowler","ANA","D","69","149.88333333333","46","242","15.97","36","187","16.14","23","132","14.84","4","13","23.53","3.11","17.32","15.21","19","133","12.50","8","58","12.12","2","7","22.22","11","75","12.79","1","3","25.00","20","99","16.81","0","3","0.00","17.39","90.15","1.075","1","19","74","107","1.33","5","30","110","4.35"
"326","Carl Gunnarsson","STL","D","72","144.66666666667","30","228","11.63","27","170","13.71","19","124","13.29","2","12","14.29","1.71","15.23","10.09","15","104","12.61","9","42","17.65","2","8","20.00","6","62","8.82","0","0","-","7","116","5.69","0","4","0.00","10.53","90.32","1.008","4","14","52","139","7.14","6","22","74","7.50"
"337","Carl Hagelin","ANA, PIT","L","80","130.8","41","147","21.81","35","112","23.81","28","78","26.42","2","10","16.67","2.49","8.5","22.68","21","68","23.60","13","23","36.11","2","3","40.00","8","45","15.09","0","5","0.00","15","73","17.05","0","2","0.00","7.14","87.18","0.943","4","20","51","160","7.27","10","27","59","14.49"
