Name,G,A,Pts,PIM,PPP,SOG,HIT,BLOCKS,+/-
Radek Faksa,14,17,31,52,2,120,102,62,6
Dmitry Orlov,7,24,31,34,3,113,131,104,7
Andre Burakovsky,13,17,30,16,3,106,38,29,5
Colin Miller,6,24,30,51,10,138,131,60,-1
Tyson Jost,13,17,30,22,6,130,46,35,-3
Kyle Okposo,13,17,30,32,7,135,64,24,-8
Christian Dvorak,11,19,30,16,5,104,68,37,-6
Mikkel Boedker,11,19,30,10,6,105,56,28,-12
Joakim Nygard,16,14,30,24,4,150,40,30,5
Nikolai Prokhorkin,14,16,30,24,6,150,40,30,5
Casey Mittelstadt,13,17,30,12,9,123,31,17,-8
Troy Terry,11,19,30,8,7,116,10,32,6
Devon Toews,7,23,30,6,6,127,38,47,6
Adam Fox,6,24,30,18,6,110,50,70,7
Sam Bennett,12,18,30,77,4,127,127,34,-7
Dominik Simon,8,22,30,26,2,121,96,29,3
Ryan Strome,13,17,30,50,7,121,63,27,-4
Filip Chytil,14,16,30,10,6,158,33,22,-13
Alex Iafallo,12,18,30,18,4,143,72,45,-4
Esa Lindell,9,21,30,28,7,130,123,148,8
Alex Edler,7,22,29,54,13,142,130,168,-4
Cam Fowler,7,22,29,22,9,121,28,106,-5
J.T. Compher,14,15,29,26,8,125,39,62,-8
Victor Rask,12,17,29,12,4,116,51,24,-5
Taro Hirose,8,21,29,18,4,98,15,39,-4
Frank Vatrano,17,12,29,34,4,178,109,46,-4
Pavel Zacha,12,17,29,20,7,98,65,23,-3
Cody Eakin,13,16,29,26,2,108,76,38,6
Mathieu Joseph,14,15,29,32,0,120,161,17,5
Cody Glass,14,15,29,12,4,120,40,30,5
Neal Pionk,5,24,29,34,14,134,133,99,-9
Calle Jarnkrok,13,16,29,16,3,113,49,26,8
Sam Steel,13,16,29,24,7,116,31,21,2
Samuel Girard,5,24,29,12,13,114,64,91,1
Blake Coleman,16,13,29,63,1,224,226,53,-4
