"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"106","Marc Methot","OTT","D","68","141.75","0","0","0","0","0","0.00","3","0.00","0.03","3","3","0","0","0","0","4","2","2","0","0","1","2","3","9","4","15","0","0","-"
"157","Marc Staal","NYR","D","72","139.48333333333","0","1","1","0","1","33.33","2","0.00","0.09","2","2","1","0","0","0","2","1","1","0","0","2","4","3","6","2","11","0","0","-"
"164","Marc-Edouard Vlasic","S.J","D","75","155.95","0","1","1","0","1","33.33","3","0.00","0.05","4","3","0","0","1","0","2","1","1","0","0","0","7","1","1","3","22","0","0","-"
"294","Marco Scandella","MIN","D","71","119.11666666667","0","0","0","0","0","0.00","2","0.00","0.02","4","2","0","0","0","1","2","1","1","0","0","0","1","7","3","3","11","0","0","-"
"362","Marcus Foligno","BUF","L","80","93.6","1","0","0","0","1","100.00","5","20.00","0.47","8","6","2","2","3","1","4","2","2","0","0","8","0","7","5","2","5","0","1","0.00"
"326","Marcus Johansson","WSH","L","82","3.1166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","-"
"380","Marcus Kruger","CHI","C","70","155.01666666667","0","0","0","0","0","-","12","0.00","0.53","16","12","7","2","0","0","4","2","2","0","0","2","2","3","2","2","13","29","65","30.85"
"442","Marcus Sorensen","S.J","R","19","12.083333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","-"
"452","Marek Hrivik","NYR","L","16","4.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"27","Marian Gaborik","L.A","R","56","3.6666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","-"
"10","Marian Hossa","CHI","R","73","113.31666666667","1","0","0","0","1","100.00","4","25.00","0.72","6","5","4","2","1","0","0","0","0","0","0","3","2","5","2","1","6","1","3","25.00"
"312","Mark Barberio","COL, MTL","D","60","30.25","0","0","0","0","0","-","1","0.00","0.02","1","1","0","0","0","0","0","0","0","0","0","0","5","1","0","0","2","0","0","-"
"307","Mark Borowiecki","OTT","D","70","50.4","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","12","3","1","10","3","10","0","0","-"
"116","Mark Giordano","CGY","D","81","265.71666666667","2","1","0","1","3","60.00","5","40.00","0.63","7","6","4","2","1","0","6","3","3","0","0","2","9","9","9","3","45","0","0","-"
"223","Mark Letestu","EDM","C","78","166.63333333333","2","1","1","0","3","100.00","6","33.33","0.53","12","8","6","5","2","0","0","0","0","0","0","1","0","5","2","1","11","80","93","46.24"
"433","Mark Pysyk","FLA","D","82","231.75","0","0","0","0","0","0.00","1","0.00","0.21","4","4","1","1","0","0","0","0","0","0","0","1","3","4","8","0","23","0","0","-"
"522","Mark Scheifele","WPG","C","79","55.616666666667","0","2","2","0","2","100.00","2","0.00","0.18","3","2","2","1","0","0","2","1","1","0","0","2","7","3","1","1","4","28","49","36.36"
"451","Mark Stone","OTT","R","71","4.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","-"
"26","Mark Streit","PHI, PIT","D","68","37.85","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","0","-"
"91","Mark Stuart","WPG","D","42","95.183333333333","0","0","0","0","0","0.00","2","0.00","0.05","2","2","0","0","0","0","0","0","0","0","0","2","10","0","7","1","25","0","0","-"
"637","Marko Dano","WPG","C","38","1.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"507","Markus Granlund","VAN","C","69","83.683333333333","0","0","0","0","0","-","6","0.00","0.43","10","7","4","1","0","0","0","0","0","0","0","1","2","2","0","1","1","5","13","27.78"
"746","Markus Hannikainen","CBJ","L","10","6.8333333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"756","Markus Nutivaara","CBJ","D","66","1.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"158","Martin Hanzal","ARI, MIN","C","71","97.883333333333","0","0","0","0","0","-","12","0.00","0.54","14","12","4","2","2","2","0","0","0","0","0","2","1","4","1","3","4","54","61","46.96"
"395","Martin Marincin","TOR","D","25","69.366666666667","0","1","1","0","1","50.00","1","0.00","0.11","2","2","1","0","1","0","0","0","0","0","0","2","2","1","0","0","8","0","0","-"
"221","Mathieu Perreault","WPG","C","65","1.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","1","0","0","0","1","0.00"
"392","Mats Zuccarello","NYR","C, R","80","34.616666666667","0","0","0","0","0","-","1","0.00","0.09","4","2","0","0","0","0","0","0","0","0","0","1","1","3","0","2","3","1","0","100.00"
"317","Matt Bartkowski","CGY","D","24","10.633333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","15","2","0","1","1","2","0","0","1","0","0","0","0","-"
"201","Matt Beleskey","BOS","L","49","25.1","0","0","0","0","0","-","3","0.00","0.18","4","3","3","0","0","0","0","0","0","0","0","2","0","1","6","3","2","2","3","40.00"
"305","Matt Calvert","CBJ","L","65","110.23333333333","3","1","1","0","4","100.00","13","23.08","1.41","16","15","12","8","2","0","2","1","1","0","0","3","0","8","2","2","12","1","1","50.00"
"99","Matt Carle","NSH","D","6","3.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"4","Matt Cullen","PIT","C","72","168.2","2","0","0","0","2","66.67","13","15.38","1.31","20","18","14","4","1","0","4","2","2","0","0","1","7","5","4","4","9","73","110","39.89"
"336","Matt Duchene","COL","C","77","71.933333333333","1","0","0","0","1","100.00","3","33.33","0.45","4","4","3","2","1","1","0","0","0","0","0","0","0","7","0","1","4","85","54","61.15"
"559","Matt Dumba","MIN","D","76","46.683333333333","0","1","1","0","1","50.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","2","0","3","0","3","0","0","-"
"65","Matt Greene","L.A","D","26","31.566666666667","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","1","4","0","0","-"
"38","Matt Hendricks","EDM","C, L","42","63.533333333333","0","0","0","0","0","-","4","0.00","0.2","6","5","2","0","1","0","0","0","0","0","0","2","1","3","2","4","8","19","26","42.22"
"143","Matt Hunwick","TOR","D","72","191.76666666667","0","0","0","0","0","0.00","5","0.00","0.09","6","5","0","0","0","0","6","3","3","0","0","2","8","8","10","7","27","0","0","-"
"390","Matt Irwin","NSH","D","74","90.733333333333","0","2","1","1","2","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","3","4","10","0","0","-"
"309","Matt Martin","TOR","L","82","27.266666666667","0","0","0","0","0","-","4","0.00","0.36","4","4","3","2","0","1","4","2","2","0","0","14","0","2","5","0","2","0","3","0.00"
"113","Matt Moulson","BUF","L","81","1.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"509","Matt Nieto","COL, S.J","L","59","97.566666666667","0","1","1","0","1","100.00","2","0.00","0.12","3","3","1","0","0","0","2","1","1","0","0","1","0","3","1","0","8","1","2","33.33"
"162","Matt Niskanen","WSH","D","78","203.85","0","1","0","1","1","50.00","2","0.00","0.1","3","3","1","0","0","0","2","1","1","0","0","1","6","3","15","3","17","0","0","-"
"537","Matt Puempel","NYR, OTT","L","40","0.75","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"458","Matt Read","PHI","R","63","55.883333333333","1","0","0","0","1","100.00","2","50.00","0.02","2","2","0","0","0","0","0","0","0","0","0","0","1","3","1","0","7","1","3","25.00"
"69","Matt Stajan","CGY","C","81","145","0","2","0","2","2","100.00","6","0.00","0.82","7","7","7","6","1","2","0","0","0","0","0","4","3","6","1","3","11","58","63","47.93"
"550","Matt Tennyson","CAR","D","45","13.866666666667","0","0","0","0","0","0.00","0","-","0","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","-"
