"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"734","Andre Burakovsky","WSH","L","79","63.283333333333","92","16","85.19","73","14","83.91","51","12","80.95","6","0","100.00","5.75","0.65","89.92","48","6","88.89","13","3","81.25","0","0","-","35","3","92.11","6","0","100.00","43","4","91.49","0","0","-","11.76","100.00","1.118","24","10","3","50","88.89","36","11","4","90.00"
"705","Andreas Athanasiou","DET","C","37","0.7","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","4","100.00","1","0","0","100.00"
"815","Andreas Martinsen","COL","L","55","4.3","4","1","80.00","3","1","75.00","2","1","66.67","0","0","-","0.35","0","99.47","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","100.00","1.000","3","2","0","7","100.00","3","3","0","100.00"
"32","Andrei Markov","MTL","D","82","280.21666666667","452","65","87.43","336","59","85.06","241","49","83.10","31","6","83.78","32.6","5.17","86.30","203","26","88.65","94","14","87.04","18","4","81.82","109","12","90.08","7","2","77.78","230","16","93.50","6","0","100.00","12.86","87.76","1.006","145","35","5","29","96.67","259","67","12","95.57"
"472","Andrej Nestrasil","CAR","C","55","70.783333333333","131","7","94.93","103","6","94.50","76","3","96.20","6","1","85.71","9.2","0.74","92.56","52","6","89.66","25","2","92.59","4","1","80.00","27","4","87.10","0","0","-","74","1","98.67","2","0","100.00","7.89","66.67","0.746","35","7","4","44","89.74","61","12","4","93.85"
"181","Andrej Sekera","EDM","D","81","189.03333333333","325","38","89.53","240","36","86.96","174","28","86.14","24","1","96.00","22.35","2.41","90.27","168","20","89.36","84","8","91.30","14","0","100.00","84","12","87.50","6","1","85.71","134","12","91.78","4","0","100.00","13.79","96.43","1.102","75","25","6","84","92.59","151","43","12","92.64"
"715","Andrej Sustr","T.B","D","77","4.4666666666667","7","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","3","4","1","15","75.00","4","4","1","80.00"
"488","Andrew Agozzino","COL","L","9","2.2666666666667","3","1","75.00","2","1","66.67","2","1","66.67","1","0","100.00","0.12","0.02","83.13","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","2","1","66.67","0","0","-","50.00","100.00","1.500","2","0","0","1","100.00","2","0","0","100.00"
"277","Andrew Bodnarchuk","CBJ, COL","D","37","2.35","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","4","100.00","1","0","0","100.00"
"386","Andrew Campbell","TOR","D","6","0.05","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","1","0","0.00","0","0","1","0.00"
